Author,Rating,Title,Content,Version,Date
Nama 1 Panggilan,1,Useless,"Kode captha loading terus, Sekelas Apk plat merah seperti ini buruk nya, kurang kredibel.",4.13.1,2025-08-18T18:09:43-07:00
kemamdra,2,Ga banget,Tolong yah sy mau login makai otp sms tp ga ada kodenya sama sekali,4.11.2,2025-07-20T21:06:05-07:00
cutiepolaris,1,Update terus menerus,"Kenapa sih ini aplikasinya tiap dibuka selalu minta update?? Pas udah di update sama aja, ngga ada perubahan! Bikin kesal aja!!! Tolonglah jangan memperibet hidup. Ini aplikasi kan tujuannya untuk mempermudah orang yang sedang sakit, bukan tutor untuk mempersulit hidup!",4.13.2,2025-09-05T05:14:05-07:00
kieltrg,1,Permohonana,"Kenapa tidak bisa pindah faskes, karena Face Id Merah terus jadi harus bayar normal, percuma harus bayar setiap bulan. Tolong IT BPJS / JKN ditegur keras",4.13.1,2025-08-21T00:06:29-07:00
Eka yufriani,3,Ubah faskes,Kenapa tidak bisa ubah faskes,4.13.2,2025-08-21T19:16:17-07:00
greyjoydarker,1,Developernya BODOHHHH,"Mau verif pindah faskes pake harus foto wajah, kalo fitur belom siap jgn di deployyy tolll polotolll blokkk",4.13.1,2025-08-12T19:19:49-07:00
Muhammad Maula Abdi,5,Bug pada kamera Verifikasi saat mau mendaftar.,"Tolong hilangkan Bug saat mendaftar, yang ada pada verifikasi wajah. Wajah sudah sesuai dengan kotak yang di sediakan, Namun tidak ada proses yang di lakukan oleh sistem. Tolong di perbaiki.
TERIMAKASIH",4.13.1,2025-08-06T22:54:16-07:00
rpgle,1,Mau daftar gak bisa,"Blm puny ac, mau coba dftr .. sampe di layar pastikan wajah udh bolak balik gak masuk kelayar mana mana.. layar itu ajaa.. pengguna iphone 15 
Apa ip tdk bs ?",4.13.2,2025-08-26T08:30:52-07:00
Byan921,1,Gak bisa daftar,"Tidak bisa dapat no OTP, scan wajah tapi tidak merespon, aneh !!!",4.13.1,2025-08-04T21:10:04-07:00
Spicyxxxxxx7,1,Dengarin kritik semua org min,Min gimana sih ini aplikasi nya org lagi sakit mau rujuk daftar nya gak bisa di bagian cocokan muka gimana sih???,4.13.1,2025-08-19T00:19:15-07:00
praditaaaaaaa,1,tolong dong,"ga ngerti kenapa nomor antrian gapernah sesuai, yang tadinya tinggal 1 antrian malah nambah lagi (??????) gapernah sesuai sama sekali tiap datang ke rumah sakit",4.13.1,2025-08-19T21:01:07-07:00
rafikayn,1,Aplikasi gak jelas,"Aplikasinya gk jelas mau daftar verifikasi wajah tapi gk selesai” hanya kotak kamera aja tanpa ada penyelesaian 
GAK BISA DAFTAR CUYY",4.13.1,2025-08-03T22:25:49-07:00
Mtb_17,1,Captcha,Captcha nya bener2 nyusahin…,4.13.2,2025-09-02T01:12:01-07:00
Shounen 356A,1,Aplikasi k*nt0l,Sering banget log out sendiri anj*ng! Dengan alasan log in di device yang berbeda! T4i!,4.13.1,2025-08-03T06:18:45-07:00
Austinleon,5,Sangat Membantu,Dengan Mobile JKN Mempermudah Kita Dalam Chekup dan Mempermudah Antrian.,4.13.2,2025-09-02T06:51:22-07:00
Ikisep,1,Pembayaran,Mau bayar tunggakan susah harus menggunakan rehab versi terbaru gimna caranya,4.11.2,2025-07-24T19:36:33-07:00
Dhevshe,1,Otp tidak terkirim,Ini udh nyoba brp puluh kali pun gada otp masuk bikin emosi pliss terus harus gmn pake email pun ga bisa,4.13.2,2025-09-03T02:03:46-07:00
Taring32,1,Tidak bisa daftar,"Di aplikasi tidak bisa mendaftara, malah di sarankan ke kantor langsung, jadi buat apa ada aplikasi?",4.13.2,2025-09-08T16:09:29-07:00
meiiiiiiiiihdgurx,1,verifikasi,verifikasi wajahnya udh di coba beberapa kali ga bisa trs,4.13.1,2025-08-17T05:36:32-07:00
idosodo,1,aneh,"aneh bgt ga bisa daftar antrean,ga muncul”,surat rujukan tidak ada pdahl surat rujukan masih aktif.",4.13.1,2025-08-18T18:34:05-07:00
Ujang212,1,Captcha muter terus,"Mau alih status jadi mandiri aja notifikasi virtual akunnya masuk ke mobile JKN, sememtara aplikasinya error terus ! Captcha nya ga muncul, muter terus ! Ribet ! Mau bayar aja ribet !",4.11.2,2025-07-11T18:25:45-07:00
Akhyar14095,1,Aplkasi cacat,Aplikasi tolol,4.13.1,2025-07-31T19:23:11-07:00
alwanhbt,1,app goblok nyusahin,"gua ngasih nomor bener nomor gua ya ngentot tapi pas verif kode malah ke nomor orang lain, verif muka juga gagal mulu udah lepas kacamata, ruangan terang masih aja gagal. orang mau berobat keburu mati ngurus verif doang ngentot",4.13.2,2025-08-26T07:46:33-07:00
This Guy is already taken,1,Verifikasi wajah tidak bisa,Mencoba mendaftar selalu tidak bisa vetifikasi wajah,4.13.2,2025-08-23T22:41:52-07:00
The W Production,1,TOLONG DISEMPURNAKAN,"Saya sudah berulang kali mencoba untuk daftar, sedangkan proses scan biometrik seperti tidak ada pergerakan setelah kamera terbuka. Ini ga cuma di device saya, saya coba beberapa device juga sama. Harusnya apl perusahaan sebesar ini, tidak seburuk apl ini. Tapi wajar kita masih hidup dj konoha, hal ini diwajarkan oleh petinggi negeri ini!",4.13.1,2025-08-20T18:30:24-07:00
Elvano deayn,1,Bapuk,Bapuk,4.13.1,2025-08-02T22:32:24-07:00
Corx241,2,Frista kurang membantu,"Aplikasi nya masih perlu perbaikan, setelah coba ganti faskes 1, disuruh validasi lewat frista (face recognition) malah ga bisa-bisa. IT nya kerjanya ga bener, developer aplikasi kurang serius kerjanya",4.13.1,2025-08-03T21:57:08-07:00
callyyyy1,2,.,"CARA GANTI NOMOR HPNYA RIBET KALI COK
btw, yg tidak dapat sms OTP itu harus ada pulsa minimal 2000 yagesya",4.11.2,2025-07-15T04:50:37-07:00
Mas Sambel,5,Layanan JKN Sangat oke,Melalui JKN Pemeriksaan jantung di RS UNS sangat cepat dan ramah,4.13.2,2025-09-05T17:20:52-07:00
Dapurlehakowis,1,gacha ngg jelas b,bikinn emosi kenapa ya serba sulit,4.13.1,2025-08-05T11:50:14-07:00
bidejæc,3,Gagal login etc,"Setelah update versi terbaru awal bulan Agustus, ada bberapa kendala: (1) tidak bisa mengakses menu ambil antrean untuk faskes tingkat pertama; (2) tidak bisa logout.
Coba uninstall malah tidak bisa login sama sekali. Tolong segera perbaiki.",4.13.1,2025-08-07T04:51:33-07:00
Silalashi,1,Kritik,"Ini bagaimana cara daftarnya??
Sudah beberapa kali verifikasi foto ga bisa-bisa. Ada solusi lain tidak?",4.13.1,2025-08-19T17:49:54-07:00
Raditiya12,1,Verifikasi wajah dh ku liat yt liat tiktok car cara nya pun tdk bisa tdk ada opsi sms ato telp,Verifikasi wajah dh ku liat yt liat tiktok car cara nya pun tdk bisa tdk ada opsi sms ato telp bisa ga seh bikin yang bener verif nya aneh mau daftar aja di persulit mana verifikasi nga jelas padahal lagi butuh min di bagusin dlu baru terjun rilis aplikasi ga jelas ini,4.13.1,2025-08-12T06:43:40-07:00
orang lagi nanya,4,butuh jawaban,kenapa setiap mau daftar pas udh bagian muka selalu gabisa???,4.13.1,2025-08-17T03:12:24-07:00
Eka yufriani,3,Ubah faskes,Kenapa tidak bisa ubah faskes,4.13.2,2025-08-21T19:16:17-07:00
bagas87637,1,KORUP!!!,aplikasi bobrok daftar face nya gabisa BNGST,4.13.1,2025-08-08T18:00:58-07:00
skuymabar,1,permasalahan verifikasi wajah,mau verifikasi wajah gabisa mulu! padahal lagi urgent,4.13.1,2025-08-10T22:04:20-07:00
desssssssssssdnr,1,Tidak bisa daftar karena biometrik ga bisa d klik,"Tidak bisa daftar karena biometrik ga bisa d klik, lemah banget sistem nya, padahal udh bayar mahal2, ga pernah di pake, mau coba daftat aplikasi susah banget.",4.13.1,2025-08-05T19:41:14-07:00
fluoxetrine,3,fix bugs di menu info riwayat pelayanan,fix bugs surat rujukan di info riwayat pelayanan di mobile JKN V.4.11.2 iOS tidak bisa dibuka selalu force close.,4.11.2,2025-07-17T22:06:51-07:00
Gregorius bila,1,TIDAK BISA DAFTAR AKUN,"Saya sudah coba beberapa kali untuk daftar akun, tapi selalu keterangannya nomor telfon sudah pernah di pakai peserta lain. sedangkan ini baru mau daftar udaa nggak bisa, mohon infonya terkait kendalanya. terima kasih🙏🏻🙏🏻🙏🏻",4.11.2,2025-07-30T06:42:47-07:00
Bala2@“,1,Wajah tidak terdeteksi,Mau identifikasi wajah aja susahhh. Udah berjam-jam wajah saya tidak terdeteksi padahal kamera hp saya jernir pakai IP 13,4.13.1,2025-08-16T20:36:43-07:00
vèrmí,1,MINTA IZIN BUKA KAMERA,tapi ga ada opsi di setting untuk mengizinkan kamera untuk aplikasi jkn. yg bikin koding tolol,4.11.2,2025-07-29T05:14:18-07:00
jskaksnow,1,Jelek,"Dikirain ada app kayak gini mempermudah ternyata makin susah, mau berobat aja susah banget daftar layanan gak bisa terus",4.11.2,2025-07-27T16:33:47-07:00
callyyyy1,2,.,"CARA GANTI NOMOR HPNYA RIBET KALI COK
btw, yg tidak dapat sms OTP itu harus ada pulsa minimal 2000 yagesya",4.11.2,2025-07-15T04:50:37-07:00
Semangka45,1,APK SAMPAH,Jelek gak bisa login apk sekelas government begini🤌🏻,4.11.2,2025-07-13T18:48:15-07:00
LHS Sir,1,Perubahan Faskes,Saya tidak bisa melakukan perubahan faskes. Sampai tahap face recognition tidak ada petunjuk harus melakukan apa. Akan saya ganti jika sudan ada petunjuk jelas,4.13.1,2025-08-14T17:59:29-07:00
Abdur rachman khalid,1,Perekaman wajah,"Ini harus gimana ga kejepret” nih perekaman gaada tombol buat rekam atau jepret ini trs di apain,mau daftar susah amat",4.13.1,2025-08-20T05:01:21-07:00
Hooohohopps,2,Poor,Lupa password mau reset pw kode otp ga ke kirim2 dah 2 hari,4.13.2,2025-09-01T17:03:48-07:00
Mugan_,1,TIDAK ADA PILIHAN FACE RECOGNITION,Mau ganti faskes diminta face recognition tapi di Iphone tidak ada setting aplikasi untuk face recognition.,4.13.2,2025-08-28T04:22:49-07:00
bdidnsbdjxnx dxmx,1,ribet,fitur perekam wajah gak jelas pdhal udah sesuai posisi mukanya,4.13.1,2025-08-19T20:37:56-07:00
rkzey,1,saran,TOLONG YA DIPERBAIKI ! jangan menyusahkan bisa ga sih? mau verifikasi wajah aja gabisa! udah berkali-kali dicoba! aplikasi itu jangan dibuat menyulitkan. tolong diperbaiki bagian verifikasi wajah,4.13.1,2025-08-05T19:04:58-07:00
MOONCOK,1,KECEWA,"verifikasi wajah tidak bisa, sms juga tidak ada padahal pulsa ada. SEMUA RS HARUS DAFTAR DI JKN, SEDANGKAN APLIKASI JKN SEPERTI INI, PRODUK GAGAL",4.13.1,2025-08-02T16:24:59-07:00
Sonia hutasoit,1,Biometrik gagal,"Saya mau ganti faskes, saat verifikasi wajah tidak bisa. Untuk apa verifikasi wajah kalau tidak bisa digunakan, kembalikan saja seperti dulu pakai pin",4.13.1,2025-08-14T04:58:25-07:00
Yofffghjiygdessfh,1,Goblok,Aplikasi goblokkk varifikasi wajah gamau tolol,4.13.1,2025-08-05T21:00:16-07:00
Bhisma yang agung,1,Layanan kurang profesional,Kenapa waktu mau daftar akun tidak bisa deteksi wajah? menyusahkan,4.13.1,2025-08-15T20:27:04-07:00
Dhimassadd,5,Ribet,Perpanjang SKCK aja suruh Buat jkn segala ribet jadi wni!! Adminnya gimana sihh??fitur kamera gak bisa di pakai.,4.13.1,2025-08-06T23:25:37-07:00
capsswe,1,Aplikasi Lengeh,"E naskleng ci ne ngae aplikasi, aplikasi tain cicing naskleng nasplet sing dadi anggo",4.13.1,2025-08-02T01:05:25-07:00
beeeerii,1,masalah pendaftaran,gw daftar waktu verifikasi wajah kok bermasalah terus sih anj***g,4.13.1,2025-08-07T19:39:25-07:00
cutiepolaris,1,Update terus menerus,"Kenapa sih ini aplikasinya tiap dibuka selalu minta update?? Pas udah di update sama aja, ngga ada perubahan! Bikin kesal aja!!! Tolonglah jangan memperibet hidup. Ini aplikasi kan tujuannya untuk mempermudah orang yang sedang sakit, bukan tutor untuk mempersulit hidup!",4.13.2,2025-09-05T05:14:05-07:00
yg bikin apk jelek,1,apk tolol,daftar verivikasi wajah ga bisa bisaa udah di tempat terang udah depan lampu tetep bingkai nya merah tolol,4.13.1,2025-08-18T23:18:35-07:00
MISSSHEIII,2,Registrasi Sulit,Proses registrasi terlalu sulit. Apalagi terkait proses verifikasi yang masih menggunakan SMS (memang tersedia fitur verifikasi melalui WA tapi tidak semua perangkat muncul fitur ini),4.13.1,2025-08-08T18:35:53-07:00
Org pengen sehat,1,Verifikasi wajah buat perubahan data kok gk bisa???,Aplikasi jelek,4.13.1,2025-08-06T18:11:06-07:00
siska maya sari,1,Tidak bisa login,Min kok ga bisa login dari hp saya?,4.13.2,2025-09-09T00:47:36-07:00
ApkSampahh,1,Aplikasi Gajelas,"aplikasi sampah verifikasi wajah ga bisa2, bikin apk yg jelas lah jgn asal2an bikin apk sampah kaya gini",4.13.1,2025-08-17T18:00:05-07:00
aliensishere,1,Jelek,"Tidak bisa daftar, karena aplikasi tidak bisa mengenali wajah manusia. Tanya ke support, ditanya apa jawab apa, tidak nyambung. Sangat membingungkan",4.13.1,2025-08-20T22:05:28-07:00
kutainae,1,Aplikasi bobrok,"Daftar sudah sesuai data, tinggal verifikasi wajah sudah pas di dalam kotak nya tapi tidak merespon",4.13.1,2025-08-14T19:24:11-07:00
migellk,1,.,apk gajelas buat susah orang,4.13.1,2025-08-06T20:26:50-07:00
Ucupnanggewer,1,Biometric,App bego gausah sok sokan pake biometric kalo gabisa dipake siapa sih vendor nya orang bpjs juga bego vendor tolol kek gini malah dipilih gangerti cara bikin app,4.13.1,2025-08-11T16:15:08-07:00
Randarini,1,Apps TOLOL,"Lgsg unistall aja. Apps ga guna, minta verifikasi wajah tp fitur verifikasi wajah ga fungsi. 
Ga bs bikin apps tp sok iye 🤣",4.13.1,2025-08-11T21:54:06-07:00
rkzey,1,saran,TOLONG YA DIPERBAIKI ! jangan menyusahkan bisa ga sih? mau verifikasi wajah aja gabisa! udah berkali-kali dicoba! aplikasi itu jangan dibuat menyulitkan. tolong diperbaiki bagian verifikasi wajah,4.13.1,2025-08-05T19:04:58-07:00
Eka yufriani,3,Ubah faskes,Kenapa tidak bisa ubah faskes,4.13.2,2025-08-21T19:16:17-07:00
benediktus ketusuk kaktus,1,False jailbreak,Hp iphone ke detect jailbreak padahal gk di jailbreak. Aneh,4.13.2,2025-08-30T11:06:31-07:00
verchuve,1,error,gabisa verifikasi wajah,4.13.1,2025-08-20T22:51:45-07:00
tsinjal,1,Bug,Face recognition didn’t work when you’re going to register,4.13.1,2025-08-18T19:02:08-07:00
gjocelinee,1,Verifikasi wajah,gimana ya di ulang berkali2 tp verifikasi wajahnya gabisa dan lama. saya bingung hrs gmn,4.13.1,2025-08-09T23:54:02-07:00
Annida zak,2,BUG APPLIKASI BANYAK,"Ini kalo emang aplikasinya belom ready jangan bikin bikin aturan baru, minta semua pake face recognition tapi akses kamera iphone aja gaada. QC applikasinya nya kerja ga sih? jangan jangan gaada testingnya dulu sebelum diluncurin",4.11.2,2025-07-28T04:45:04-07:00
teh sasa,5,bpjs,"pelayanan sangat baik, nyaman",4.13.2,2025-08-27T19:34:28-07:00
MaitriDewi,1,biometrik,biometrik ga fungsi. wajah udah sesuai kotak aja msh gak ke detect.,4.13.1,2025-08-05T16:44:03-07:00
Kirek celeh,1,Aplikasi goblok,Masa ga bisa identifikasi wajah. Cacat aplikasi ngentot,4.13.1,2025-08-07T02:59:53-07:00
Diananer,1,Gagal Verfifikasi Wajah,Coba log in katanya belum terdaftar yaudah coba daftar. Pas daftar disuruh verifikasi wajah tapi gak bisa bisa. Jujur ini aplikasinya bener bener gak guna. Daripada uang yang dipake buat bangun aplikasi ini jadi sia-sia mending ganti vendor atau gak usah ada aplikasi ini sekalian.,4.13.1,2025-08-09T19:57:17-07:00
Malikiyaumiddin,3,Eror terus,Mau ganti No hp Lama banget eror terus sampe kesel,4.13.2,2025-09-02T18:44:47-07:00
zalfatsana,1,keluhan,"susah banget ini aplikasi, saya mau verif wajah gabisa mulu, udah nyoba berbagai cara tetep aja kaga ke deteksi, sangat membantu sekali aplikasi ini",4.13.1,2025-08-10T18:09:16-07:00
dicky arianda,1,APLIKASI PALING TOLOL DI DUNIA,"Verifikasi wajah tidak bisa , kamera hidup tapi tidak bisa verifikasi malah diam di kamera aja tanpa ada reaksi apapun, tolol yang buat ini",4.13.1,2025-08-18T23:36:32-07:00
itsnotzee,1,APLIKASI GAJELAS,"Tolong dong diperbaiki, masa ingin rubah data aja pake face recognition, padahal ga semua hp support elahhh.. mau berobat aja ribet 👎👎",4.11.2,2025-07-15T19:56:04-07:00
Randarini,1,Apps TOLOL,"Lgsg unistall aja. Apps ga guna, minta verifikasi wajah tp fitur verifikasi wajah ga fungsi. 
Ga bs bikin apps tp sok iye 🤣",4.13.1,2025-08-11T21:54:06-07:00
Fakyubit,1,MAINTENANCE!!!,LO KALO BIKIN APLIKASI JANGAN NYUSAHIN MINIMAL DI MAINTENANCE ORANG SAKIT DISURUH BIKIN JKN KETIKA FACE RECOGNITION GA KEDETECT2,4.13.1,2025-08-10T03:08:04-07:00
BAD MOBA,2,Tidak ad akses kamera,"Di arahin verifikasi wajah , tapi ga ad akses kameranya ini aplikasi
Lucu !",4.11.2,2025-07-11T04:49:08-07:00
andrian yorlan,1,Apk aneh,Masa rekam wajah ga bisa bisa,4.13.1,2025-08-04T00:51:47-07:00
Kezbcy,1,Gj,Muka udah di kotak 5 menit ga ngapa ngapain GJ,4.11.2,2025-07-20T01:18:41-07:00
nensquy,1,keluhan,"aplikasinya cacat masa gabisa verifikasi data terus aneh, aplikasi pemerintah bisanya nyusahin. yang bener dong bikin aplikasi, kalah sama apk pinjol",4.13.1,2025-08-02T08:17:31-07:00
BAD MOBA,2,Tidak ad akses kamera,"Di arahin verifikasi wajah , tapi ga ad akses kameranya ini aplikasi
Lucu !",4.11.2,2025-07-11T04:49:08-07:00
D412GO,5,pelayanan,sangat memudahkan pasien,4.11.2,2025-07-12T20:40:11-07:00
Nopita rahmadani,5,Susah mendaftar,Sken wajad hampir dua jam sampai naik asam lambung,4.13.1,2025-08-13T20:45:58-07:00
Nama 1 Panggilan,1,Useless,"Kode captha loading terus, Sekelas Apk plat merah seperti ini buruk nya, kurang kredibel.",4.13.1,2025-08-18T18:09:43-07:00
Pangestu1-/:!!@@,1,Aplikasi gak sip,Apk gak jelas bikin ruet,4.11.2,2025-07-19T21:48:16-07:00
Bsadzilla,1,Pembodohan,"Apk pea, padahal waktu daftar udh pake no telpon sm email yg sama….tpi pas mau login lagi malah salah melulu, APK KOCAKKKK",4.13.2,2025-08-26T20:58:52-07:00
Nopita rahmadani,5,Susah mendaftar,Sken wajad hampir dua jam sampai naik asam lambung,4.13.1,2025-08-13T20:45:58-07:00
Org pengen sehat,1,Verifikasi wajah buat perubahan data kok gk bisa???,Aplikasi jelek,4.13.1,2025-08-06T18:11:06-07:00
Taring32,1,Tidak bisa daftar,"Di aplikasi tidak bisa mendaftara, malah di sarankan ke kantor langsung, jadi buat apa ada aplikasi?",4.13.2,2025-09-08T16:09:29-07:00
Said Agung,1,Face recognition,"Aplikasi sangat buruk, face recognition tidak berfungsii, wajah sudahh terletak pada kotak yg desediakak tapi tetap saja tidak bisa diproses. DAN TIDAK ADA TOMBOL BANTUANN, saya butuh untuk kerjaan tapi aplikasi ini mengecewakan….",4.13.1,2025-08-19T20:42:38-07:00
Fakyeu,1,Korupsi,Gimana sih ini aplikasi gabisa di gunain,4.13.1,2025-08-12T08:55:34-07:00
Aizknbn,1,Verifikasi OTP,Verifikasi otp ga bs. Ga pernah terima kode otp di sms.,4.13.2,2025-08-28T20:44:52-07:00
reno agus saputra,5,Sangat terbantu adanya BPJS,"Kemarin minggu anak saya masuk IGD,blm punya BPJS dari pihak RS dibantu untuk di bikinkan melalu online alhamdullilah belom ada sehari sudah jadi,sangat terbantuk adanya BPJS untuk pelayanan kesehatan tidak di pungut biyaya sepesarpun untuk biyaya RS nya🙏🥰",4.11.2,2025-07-24T03:29:56-07:00
Caaaeee,1,Memberi Data yg tidak benar,Mau ubah faskes tlfn call center melalui aplikasi malah dikasih nomer telepon yang jelas” itu bukan no tlf buat perubahan faskes bpjs,4.13.1,2025-08-21T05:22:01-07:00
Mtb_17,1,Captcha,Captcha nya bener2 nyusahin…,4.13.2,2025-09-02T01:12:01-07:00
Bimasena Peoject,1,Proses Lama,"Udah bayar tapi blm ada perubahan status. Kalah cepet ama qris, terlalu bertele tele",4.13.2,2025-09-06T20:19:06-07:00
Olla sitanggang,1,Kode otp ga masuk,Ini gimana sih request kode otp ngga masuk2 bener2 ngeselin orang udah mau meninggoy,4.13.2,2025-09-02T18:14:11-07:00
fyols,1,review penggunaan aplikasi Mobile JKN,"makin kesini makin ribet, tolong dong aplikasi mobile JKN bisa dibuat lebih simple untuk para penggunanya dan aplikasinya harusnya udh siap sedia. Belajar dlu deh sm develop BCA yg udh terintegrasi dan oke punya dan memudahkan penggunanya. Apalagi ini terkait kesehatan, masa ga sat set sih. Smg masukan dri pengguna bisa didengar untuk bisa mengupgrade aplikasi jdi lebih canggih",4.13.1,2025-08-07T02:14:56-07:00
Soknotorobotono,1,Protes dengan tidak benar nya aplikasi,"Ini yang buat aplikasi bisa buat aplikasi atau tidak , verifikasi wajah aja kagak bisa terus aplikasi tolol",4.13.1,2025-08-19T20:25:44-07:00
ireneyuliana6,2,Ganti faskes,"Mau ganti faskes melalui app dan hrs vermuk tp permintaan akses app ke kamera tdk ada, bagaimana ini",4.11.2,2025-07-09T23:01:59-07:00
jheee22,1,"verifikasi aja gak bisa"" haduh","verifikasi aja gak bisa"" haduh",4.13.1,2025-08-11T19:27:34-07:00
Andian ADP,1,Aplikasi gagal,"Tidak bisa registrasi, saat permintaan menempatkan wajah di dalam kotak setelah itu tidak ada respon apapun dari aplikasi.",4.13.1,2025-08-21T01:00:40-07:00
Zln17,2,App yg tidak memudahkan,"Mau dftr aja susah ny mintaammpuunn yatuhan. Udh ku ssuaikan tata letak wajah di dlm frame, TAPI GA MULAI2 di SCAN. Gda tmbol, gada tanda ap2 . Buriiiqq

App indo smua gada yg beres mmg",4.13.1,2025-08-16T20:43:55-07:00
AlfonsusSinaga,5,Baik Sekali,"Terima kasih JKN team, semangat kembangkan terus",4.11.2,2025-07-22T03:56:14-07:00
akbar101010,4,Kamera,Kenapa dipengaturan aplikasi gak ada pengaktifan kamera ya,4.11.2,2025-07-13T18:25:49-07:00
Widiastuti,1,Parah,"Saya mau update data tp ga bs ktnya filenya terlalu besar padahal hrsnya max 3MB, ini file sy hanya 2.5MB ga bs. Trs mau masukin data yg lain ga bs. Bingung wooooiio, padahal hrsnya dengan aplikasi jd lbh mudah. Ini malah susah banget.",4.13.1,2025-08-21T06:24:07-07:00
Mutiara Diah Pramesti,1,Muttiiiii,Mau bikin akun aja harus pake verifikasi wajah dan itu gabisa2 terus.  Mau mindah faskes aja susahnya minta ampuuun,4.13.1,2025-08-03T08:00:30-07:00
ir@@k,1,bintang satu,aplikasi yg meribetkan warga indonesia🔥,4.13.2,2025-09-08T23:14:33-07:00
GHX_06,2,there mobile jkn,"kalo mau rekam wajah yang bener napa asu rekam wajah saja lama bangett sampe berjam"" nungguin masih gak kelar"" buat apa coba harus verifikasi wajah kalo harus sampe nunggu lama berjam"" asu gaguna ini apps",4.13.1,2025-08-08T00:18:55-07:00
Awabjr,1,Aplikasi pemerintah gaada yg bener,"Aplikasi ampas, mau jelasin kekurangan udah capek banget bingung mulai darimana, kerjanya gajelas semua pemerintah konoha ini",4.13.1,2025-08-21T07:18:14-07:00
Erric dikky,5,Well done,Sangat membantu,4.13.2,2025-09-01T21:34:51-07:00
Pitriajaa,1,Sulit mengambil nomor antrean online di apk ini,"Masa setiap ambil nomor online pake mobile JKN selalu ga bisa sih!!, katanya apk ini untuk mempermudah mengambil nomor antrean puskesmas. Tapi apa ini, gak sekali dua kali ya setiap saya mau ambil nomor antrian puskesmas selalu gak bisa!!
Sangat kecewa sih saya, seharunya bisa memper mudah tetapi ini sama saja.!",4.11.2,2025-07-20T11:24:59-07:00
Hmzzzzzzassaajdjd,3,….,"Ga jelasss bangett aplikasinya, dari tadi ngga terverifikasi wajahnya",4.13.1,2025-08-06T06:30:14-07:00
Moms iza,1,Salah masuk NIK,"Katanya salah masukan NIK tapi begitu sy masukkan kedua kalinya katanya sdh terdaftar tinggal login aja. Begitu login katanya salah lagi NIK. Yang betul yang mana sebenarnya,, jadi bingung 😫😫",4.11.2,2025-07-20T01:56:23-07:00
Taring32,1,Tidak bisa daftar,"Di aplikasi tidak bisa mendaftara, malah di sarankan ke kantor langsung, jadi buat apa ada aplikasi?",4.13.2,2025-09-08T16:09:29-07:00
Pejuang BI,1,Verifikasi wajahnya ga bisa,Gagal terus verifikasi wajah gaada kejelasan,4.13.1,2025-08-04T19:39:23-07:00
penggemarkamu,1,Aplikasi,Aplikasi bobro kaya pelayanan di faskesnya,4.13.2,2025-08-29T20:24:55-07:00
Okeyyan,1,Gabisa daftar,Mau daftar tapi pas verifikasi wajah malah ga bisa udah nyoba beberapa kali masih gabisa,4.13.1,2025-08-05T18:34:59-07:00
Eka Widia,1,Lambat!,mau daftar aja lambatnya minta ampuuun deh!,4.11.2,2025-07-10T01:18:45-07:00
roiyan aden,1,face recognition nya dibenerin napa gajelas banget,gak bisa ke deteksi wajah aing aplikasi sampah,4.13.1,2025-08-06T08:06:16-07:00
ir@@k,1,bintang satu,aplikasi yg meribetkan warga indonesia🔥,4.13.2,2025-09-08T23:14:33-07:00
cepuri,1,susah verifikasi wajah,susah banget daftar verifikasi wajah tolong di update lagi bug nya,4.13.1,2025-08-05T03:26:39-07:00
Rdea,3,Lama,"Perubahan faskes harus nunggu, dan lama.",4.13.2,2025-08-25T02:16:39-07:00
Jonkillllp,1,Indonesia,Nyesel hidup di indonesia pelayanan sampah semua,4.13.1,2025-08-12T13:45:27-07:00
Qionk25,1,Daftar online,Bayi saya baru lahir mau daftar ulang rujukan ngambil antrean di mintain nik,4.13.1,2025-08-04T00:20:33-07:00
!/!!!!!!!!,5,GOBLOK,"biometric"" peler gabisa login",4.13.1,2025-08-08T20:49:17-07:00
just a girl wanting to fly,1,1/10,The app cant even open a camera,4.11.2,2025-07-13T05:47:17-07:00
yg bikin apk jelek,1,apk tolol,daftar verivikasi wajah ga bisa bisaa udah di tempat terang udah depan lampu tetep bingkai nya merah tolol,4.13.1,2025-08-18T23:18:35-07:00
Iwada W,1,Frista tidak respons,"Ubah dara peserta wajib frista, tapi sudah scan wajah tidak ada keterangan apapun. Pastikan terus padahal muka sudah masuk kotak",4.13.2,2025-08-25T01:16:12-07:00
greyjoydarker,1,Developernya BODOHHHH,"Mau verif pindah faskes pake harus foto wajah, kalo fitur belom siap jgn di deployyy tolll polotolll blokkk",4.13.1,2025-08-12T19:19:49-07:00
bpjs tolol,1,aplikasi tolol,"login ga bisa2, buang2 anggaran aja anj",4.11.2,2025-07-11T18:59:41-07:00
Ardi mulyana somantri,2,Tidak bisa verifikasi wajah,Gabisa daftar krna harus verifikasi wajah. Sudah sesuai arahan berada di dalam kotak tapi engga ada reaksi apa-apa mentok saja disana. Kenapa ya? Mohon di tinjau,4.13.1,2025-08-01T01:25:53-07:00
rahayudwia,1,JELEK,"ANEH gabisa daftar akun, katanya rekam wajah sesuai kotak, udh di tunggu 5 menit masih juga ga ada perubahan!!!!",4.11.2,2025-07-16T10:51:39-07:00
jowobowo,1,KOMPLAIN,"aplikasi bodoh kah ini? bengak buyan yang buat aplikasi, fitur foto ga kepake dongo  banget blok",4.13.1,2025-08-13T22:18:32-07:00
