author,rating,content
papabear,1,"Tolong perbaiki dulu bagian scan wajah karena selalu gagal, dan juga verifikasi nomor hp. Sms gada masuk dah berkali2 kirim ulang."
Martha Christina,1,"ini gimana ya udh beberapa Minggu ini klo mau daftar ke faskes 1 gak bsa2 sistem nya dri sana gak bsa2,tolong dong di perbaiki sistem nya buat apa ada ini klo gak bsa di gunakan.....🙏"
Zahid Budiman,2,"Bismillah, semenjak kontrol org tua pakai aplikasi ini sering blank jadwal sering tdk tepat, daftar antrean rujukan tingkat lanjut zonk jd tdk bs daftar. Berbeda dl waktu daftr kontrol pake aplikasi dr RS lbh tertib dan simpel. Jadi lebih sulit utk kontrol orang tua saya (ini sy yg pakai usia 40an bayangkan yg menggunakan bapak sy sendiri usia di atas 70th.... ). Semoga sgr diperbaiki, update aplikasi yg semakin memudahkan.... Untuk penggunaan menu yg lain work baik, wallohua'lam."
historilama,1,tidak ada tombol pilihan kirim di verifikasi
Pengguna Google,1,gimana cara loginnya yaaa???
Sarmin Arek gresik,5,Sangat membantu dalam kesehatan
Rafli Gilang,1,aplikasi sampah kirim kode otp verifikasi gak bisa bisa pdahal kartu aktif baru beliii masa harus ke kantor BPJS-nya mana antri panjang trus guna aplikasi jkn buat apa
Pengguna Google,1,Minta update mulu perasaan .. blum lama update udah minta update lagi .. terus aja kaya gitu .. kalau ga di update ga bisa dioperasiin .. langsung keluar gitu aja .. tolong donk .. jngn minta update terus .. setidaknya masih bisa dioprasiin kalau ga milih diupdate . Kaya app yg lain .. ini habis bayar Cuma mau ngecek pmbayaran aja jd ngerasa dipersulit .. patuh bayar iuran aja dipersulit .. tar kalau ga bayar lebih salah . Sebelum bayar ga minta diupdate .. udah bayar mau ngecek malah dipersulit
Mulyadi Hartono,5,Aplikasinya bagus
Badriyah 98,1,"Kalau bisa dipersulit kenapa di permudah, apk Negara selalu kalah sma yg swasta...saya saja sudah auto debit tp kenapa sampai ganti bulan pun tak terbayarkan,tolonglah di perhatikan kemudahan rakyatnya...sini rela uang makan untuk bayar bpjs masih sja gak di permudah"
Pengguna Google,5,Sangat membantu.
tomi yusrizal,1,Minta update terus
Aldrich Aksel Juro,1,Kena peras dan di paksa juga dirampok nich dengan sistem BPJS
subulus salam,1,"Pada kolom tempat lahir ko tertulis 19****** Seharusnya nama tempat, bukan angka."
danar aryani,1,Pembaruan aplikasi tapi yang terjadi malah kemunduran...gak bisa dipake...perintah masuk malah semua kode dinyatakan salah...payah nih...
Nabil Ahsan,1,"Ayolah jangan dipersulit, mau mendaftar saja sulit, antri panjang lagi, data kita dikemanakan, minta data lagi minta data lagi terus."
Mahfuz Sdj83,5,Sangat mudah digunakan dan membantu sekali
Hilma Syafly,1,Ga bermanfaat. Kalau bakal ngurusnya ke kantor juga.
Pengguna Google,5,Ok sangat membantu
Gula Batu Rubicon,1,Semakin susah login.Diupgrade bukannya tambah bagus malah sangat merugikan pengguna nya.🤷🤷🤷
Sholeh Hudin,5,Membantu sekali
Deby Silvia,1,"Ini yg bikin aplikasi gimana ya error terus, udh berapa hari cek berkala ttp aja ga bisa. Pengurusnya suka cek kolom komentar ga sih? Diperbaiki?"
Fendi gokil,5,Pelayanan sangat bagus tpi kenapa kok masuk lagi gk bisa katanya emulator root gmna cara perbaikinya
Abizhar production,5,Mantap penjelasan nya
Hasan Nur,5,Sangat membantu
christoffel narua,5,layanannya bagus dan mudah
Sigi Creative,5,"Layanan bagus, cepat dan tepat"
KANG IHSAN OFFICIAL,1,"Verivikasi no teleponnya susah harus ad pulsa , kalo bisa lewat wa lebih mudah"
Pengguna Google,5,Membantu secara mobaile
Deni Permana,1,"Maaf untuk sementara di uninstal dl, nanti klw ada perlu baru download lagi, dari pada minta di update terus..."
Yudith Indriani,5,Semakin praktis ga harus bawa kartu dan bisa daftar dari rumah...
Sadewa Sadewa,1,"Sebuah aplikasi yang LUAR BIASA logik programmingnya,daftar baru tapi disuruh login terlebih dahulu,sudah jelas tidak dan belum terdaftar Tidak dapat diungkapkan dengan kata kata APLIKASI YANG LUAR BIASA anehnya dengan logic yang brilian tanpa dapat diungkap dengan kata kata Terima kasih sudah membuat masyarakat menjadi terperangah dan sangat surprise dengan fenomena apliaksi ini"
Ira Purnama AMC,4,Sangat membantu
Jhonni DiJe,2,"Di upgrade malah takbisa ngapa ngapain. Chaota kah yang gagal Mulu, sinyallah yang katanya no internet... Padahal mo daftar ke dokter. Bagaimana sih"
Eddy Suaidi,1,"Aplikasi tambah kacau,sy sdh di bayarkan perusahaan masih juga di auto debet oleh bpjs,bener2 parah🤔"
Mohand Aditya,5,Sangat membantu
Muhammad Azhari,3,perangkat saya tidak pernah di root kok gak bisa jalan sih mau pindah faskes 😭😭
wira atmaja,1,Baru juga instal udah minta update hadeeh
Akun Renti,4,"kenapa asal buka aplikasi, minta update?"
Sundi Kelana,4,Mantap bermanfaat
Septwinda Tasia Ranti,5,"selalu gagal input nomor hp di data peserta, jadi tidk bisa ganti faskes, kalau harus ke kantor sama saja tidak perlu pakai jkn mobile, ga efektif"
Alam Dieng,1,Payah klo pengguna bpjs selalu di buat lama dalam penanganan
SHILA UDDIN,5,Simpel dan praktis tapi agak lebih simpel lagi
zacko zack,5,Kalau mau rubah faskes cara nya gimana?
Yuli Patmawati,1,Mau daftar ko GK bisa bisa.SMS nya GK masuk masuk gimana sih
Pengguna Google,5,bagus menghemat tenaga dan waktu
Pengguna Google,4,Sangat membantu kami
Amin Lestari Eni,1,"Mau daftar susahnya minta ampun, udah di coba berkali-kali pun juga ga bisa. Penggennya lebih mudah, tapi ternyata makin susah :)"
Widya Indri,1,"sistem tidak jelas,kode verifikasi lewat sms tidak ada, sangat didak jelas, sudah pake nomor smpe 3x tetep tidak muncul kode verifikasi nya"
ibnu inu41,1,"Gk bisa digunain aplikasinya,pihak rumah sakit minta harus login diapp jkn,, mlah gini hasilnya🤒🤒🤦‍♂️🤦‍♂️"
Abdul Qodir,5,Aplikasi ini sangat membantu
Poedji Soesila,5,Program Nasional yang bermanfaat bagi rakyat
Rika Alfitri,5,Sangat membantu
Ilvy Nur Dina,3,"Aplikasi online yg menyulitkan, verifikasi kode OTP berbayar tp yg dicantumin di aplikasi pake no.simpati gk tau no.siapa pdhl yg kesedot pulsa saya yg baru 2500 sekali sms pake no yg didftrkan, klo lngsng bisa g mslh nah ini g bs2 jd bkn sebel...trs bnyk vitur2 yg kegembok dan hrs verifikasi dl, lah terus apa gunanya ada aplikasi buat mempermudah layanan? Mohon diperbaiki lagi ya admin utk kebaikan pelayanan kdpnnya, Mksh🙏"
Yudi Bahari,1,"Aplikasi yg ruwet...ganti no hp & email lewat whatsapp PANDAWA tp smp sekarang gak ada kabar sudah 2 minggu lamanya. Lewat aplikasi sudah gak bisa...aneh!!! ""PADA MAKAN GAJI BUTA"""
Pilot Roda 4,1,MK udah mmbatalkan kenaikan BPJS pda bulan 1 kmrin dan bru d terapkan bln 3. Knp lama d terapkan?? Trus uang sisa pmbayaran kami yg dr bulan 1-3 kmrin di kemanakan?? Uang masy pun d curi dgn cra spt ini.
Marsus Thd,1,Dengan daftar antrian ke RS dengan aplikasi ini malah semakin ribet tdak praktis
Ida Bagus putu Astawa,2,Daftarnya susah dan tak bisa ngakses
Adent Kamilah,5,Hidup lebih mudah
Risma Yanto,5,"Saya minta update no.hp saya,tp responya lalap kemenu dari sosmed pun sama aja ok"
Pengguna Google,1,Ga bs login oiii niat ga sih bikin aplikasi..
Daud Andy,5,"Ok, sangat berguna, info lengkap dan simpel."
hamdani azis,1,Capctha sdh benar tapi di sebut slah trua GJ sangat tidak membantu
Sadeg Abdullah,1,"Bukan nya membantu malah menyusahkan dan menyulktkan masyrakat nih. Unsur terkait Tolong lah di perbaiki. Sudah di download ga bisa masuk, ga bisa di apa2in nih aplikasi nya.."
Mey Swan,1,Masuk JKN Mobile kok harus update terus
Nara ayu maharani,1,Ini aplikasi apa yaa... hduhhh.. kok payah banget yaa..
Alis Ray,1,"nungguin kode otp masuk aja kayak nungguin doi jadi janda, lama bener. hapus aja ni aplikasi mempersulit"
Kristin Manalu,5,Aplikasi sangat membantu
Nurbaya Amin,2,Jangan update terussssss donkkkkkkkkkk
Hady Anto,5,Aplikasi sangat membantu
Pengguna Google,2,Aplikasi minta update terus dan minta login... Mohon diperbaiki😪😪😪
Zul Hasrin,1,aplikasi cacat mw daftar atau login aja gx bsa.
Bugi Dewanto,5,Sangat membantu peserta BPJS.
Raju Juan,5,Aplikasi yg sangat membantu. Kita dalam memantau atau mengecek keaktifan sebagai anggota jkn.trm ksh.
isaka zaki,1,Semakin di update Aplikasi semakin tidak jelas Kalau bisa jangan seperti iblis Yang suka nya nyusahin MANUSIA Padahal NIK SUDAH BENAR PASSWORD UDAH BENAR CAPZA UDAH BENAR KATANYA KOK SALAH TERUS JANGAN SEPERTI BAJINGGGGAANN PECUNDANG DONG KALO BIKIN APLIKASI NYUSAHIN MASYARAKAT TERUS TOLONG DI PERMUDAH COOK
Pengguna Google,1,"1.terlalu sering update 2.kalau belum matang aplikasinya jangan dulu dikeluarin ke publik 3. apakah memang nyari untung dari peserta download aplikasi?? tolong ditanggapi, wahai pegawai Rakyat"
Pengguna Google,2,Sering error. loading terus gak bisa terbuka.
Wikeyz,1,"Ini kenapa aplikasi jkn,kenapa saya mau daftar antrian ko offline terus gabisa di buka"
Teguh Dwi Cahyo,1,aplikasinya jelek. nomor telfon yg sdh diinput beda dgn nmr tlfn yg sdh trdftr
Imunk Akbar,5,Kedepannya lebih membantu
Wilda Sari,5,Apknya lengkap dan bagus
Pengguna Google,1,"sangat tidak membantu, buat log in saja tidak bisa"
Rudy Mahardika,1,Sering error... Parah...
Deniel Akrays,1,"Aplikasi telek cuma bikin emosi, makin kesini malah susah login"
Ya na,5,Sangat membantu
Amelia Sary,3,Kenapa mau cek tagihan pembayaran selalu loading
Nayla,4,"Akses yang mudah, dan gampang"
Cyroprayuga,1,Aplikasi yg sungguh tidak jelas🙄🙄 padahal semua data benar tpi pas verivikasi wajah kok gagal terus padahal sdh ikuti semua petunjuk🙄🙄
Imron Rosadi,1,Tolong dibenahi aplikasi nya masa nunggu otp SMS harus 2 jam itupun juga gak ke kirim kirim padahal nomor aktip...hadeuh lebih propesional dong jangan Abal Abal neh it nya
Ahmad Nuruddin,5,sangat nyaman dan membantu aplikasi yg sangat memudahkan peserta bpjs
Syifa Assyafaatu Rohmah,5,Sejauh ini penggunaannya mudah👍🏻
Widie Widia,1,"Selamat malam,saya mau laporan knp bpjs sampe ambil pembayaran double padahal saya sudah bayar dengan jangka waktu 3bln sep-november 2021dengan nominal 525.000,kronologis pada tanggal 5 november pukul 02.51 saya melakukan pembayaran tetapi knp pada saat di tanggal yang sama pukul 18.57 bpjs autodebet sejumlah uang 525.000 juga di atm BNI saya,harap bpjs koreksi kembali,masa kejadian ini bisa terjadi...jaman sekarang lagi susah...tolong cepat respon dan saya minta uang saya kembali secepatnya."
Arry Bisma,5,Penggunaan aplikasi yg mudah..
Antonius Library,5,fitur penambah perserta tidak bisa
Pifin Noveri setiawan,5,"Bagus, memudahkan"
AYU Telaumbanua,5,Sangat mudah digunakan.
Rahmat Romadlon,1,Buat aplikasi kok membingungkan.mau cetak kartu susah.alamt email blm di isi.mau cari yg buat ngisi alamt email aja susahnya minta ampun.tidak langsuh diarhkan yg perlu di isi. Tidak membantu sama sekali. Suruh nyari fitur di menu home.padhal tdk ada menu fitur.emang gak niat buat aplikasi. Cumamempersulit masyarakat.
Michael Dewadata Analisa Nusantara,5,semakin ringan aksesnya dan responsif
Bumi Damai,2,Kenapa tidak bisa daftar?vertifikasi lewat no. Hp susah sekali kode tdk di kirim2. Kalau berbayar tolong beri informasi!
Adip Prasetyo,1,"Ini yang ga becus siapa sih ya,mau daftar aja pake captha,eh malah ga muncul"", mending suruh swasta aja udah yang buat dan maintanacenya,dan jangan di KORUPSI cok"
Ahmad Syamsudin,5,Bagus mempermudah
ririn okfitasari,1,berkali kali daftar masukin nomor telpon engga masuk kode verifikasi katanya jaringan offline padahal kalo verifikasi lewat email masuk kodenya yang bener aja katanya mempermudah tapi malah mempersulit tolong di benerin lagi
tary moedt,5,Baik dan semoga semakin baik lagi
Pengguna Google,1,"Berusaha bayar agar tidak telat,, tapi selalu susah untuk login,,"
Nazwa Azqya,1,"Tambah ribet. Bukan nya mempermudah ,"
Moh Fahrul,1,Gak bisa daftar verivikasi gagal terus
ASEP IYAN HERYANTO,5,Aplikasinya mantaap dan sangat membantu sekali tanpa harus membawa kartu hardcopy nya
Pengguna Google,5,Sangat membantu
Achmad Cahya Gumilar,1,"Aplikasi tidak bisa di buka, aplikasinya membaca hp saya telah di root, padahal ini hp ga pernah ku root, di cek pakai aplikasi apapun hasilnya no root.."
bayu suta simo,5,Semoga bermanfaat terus
Emeninta Br Ginting,2,"Kemarin baru login di akun mobile JKN , terus hari ini liat akunnya tapi gatau kenapa tiba tiba statusnya menjadi tidak aktif, dengan keterangan keluar atas kemauan sendiri. Padahal saya tidak melakukan apapun dan hanya melakukan perubahan faskes saja. Kira kira kalo saya mau menggunakan KIS nya di puskesmas apakah masih bisa kalo statusnya tidak aktif ? Sementara kalo tanya dari wa Pandawa nya tidak ada balasan. Mohon pencerahannya terimakasih"
Jirol Beh,5,"Apk bagus,sangat membantu sekali"
Hasan Udin,5,Tolong di perbaiki yang kurang kurangnya
Pengguna Google,3,"Seharusnya peserta BPJS yg membayar iuran tiap bulan memiliki akses khusus atau lebih diutamakan daripada peserta KIS yg tidak di bayar, alangkah baiknya kartu juga dibedakan, jangan samaratakan dengan yg tidak membayar. Karena yg membayar seharusnya lebih berhak menerima pelayanan yg seharusnya."
Dwi Setiyawati,1,App tidak bisa waktu daftar padahal sudah ada SMS TPI di app tidak bisa
NETTY HERAWATI,4,Tidak bisa di update
Hery Hendarsyah,4,"Habis update ga bisa log in. Sudah masukin no. Bpjs, pasword, username capca, tetep gagal. Sudah reset kata sandi gagal terus. Disuruh coba beberapa saat lagi."
Wina Pradana Wazoz,1,Mau daftar jd peserta baru. Trus pilihan tempat lahir cuma di provinsi aceh. Sementara saya kelahiran di sumatera utara. Kenapa pilihan cuma provinsi aceh doank? Ni aplikasi rusak apa bagus sih? Kok gak jelas gitu.
Julida Manurung,5,"Apknya sangat membantu Dan pelayanan satpam bpjskesehatan kantor kab.tapanuli tengah a.n doly pranto.. sangat baik dan ramah, penjelasannya sangat bisa dimerngerti"
Andika Andi,2,Ngapain tiap buka aplikasi minta update mulu...Jlek di kurangin bintangnya....
inna karlina,1,Sesulit itu hanya skdar login slalu ktrangan captcha salah . D ajukan untuk lupa password sama saja !!. Gada respon baik untuk bsa dpt solusi apa
Handrisal Lubis,5,Sangat membantu
ibn aqil,1,"ini bagaimana bisa mau daftar liat otp di email nnti keluar lagi ke layar depan , tolong dong di benerin , aplikasi gak jelas banget . nyusahin aja!"
Pengguna Google,1,"Pd menu pendaftaran pengguna mobile, verifikasi email gagal terus neh. Jd ga bs daftar deh."
Cucum Sumiati,5,Sangat membantu
Hendy Prasetyo,3,"Saya kasih 3 ⭐ dulu. Karena saat ini pd menu ""Riwayat Pelayanan"" hanya bisa menampilkan akun yg login, akan lebih bagus lagi jika bisa mengecek ""Riwayat Pelayanan"" tersebut sesuai peserta yg masih menjadi satu tanggunan, juga sekaligus terdaftar di satu KK........Misal: di satu KK ada 3 peserta yang ditanggung, maka ketiganya bisa saling mengecek ""Riwayat Pelayanan"" tersebut melalui akun masing-masing. Terimakasih."
Pengguna Google,3,Tidak bisa ubah data peserta.. loading nya lama ..
Gallen Gyemink,4,Mempermudah pengurusan
Nunuk Sriyati,1,Tidak bisa buat login. Payahhh
siti novia,5,sangat membantu saya untuk memindah tempat faskes
Nurul Amalianti,2,"Sdh berhari2 mau dftar, tp susah sekali unt verifikasi apa2.. Cuma verifikasi wajah sj, ndak bisa2.. Dri pakai jilbab, smpai sudah lepas jilbab, tetap juga tidak bisa terbaca, padahal sudah didepan rumah, tempat paling terang.. Apa maunya ??! Apa2 selalu di arahkan ke aplikasi, tp aplikasi nya bgni.."
Beni Rinaldo,5,Lebih praktis. Tidak harus daang ke kantor layanan
Andrian Perdana,5,Sangat membantu
JONIAR N PEKAN,1,Pelayanan masih belum beres
Dimas Laputra,1,"bug tidak bisa login,"
Ilham Cumplis,3,Daftarnya angel verifikasi no telp angel
Pengguna Google,5,Banyak manfaat nya
Sri Lesitiyawati,1,layanan makin buruk sering keluar sendiri ga jelas saya mau boking ke dokter spesialis kulit dan kelamin aja pas di klik malah keluar sendiri kata nya suruh masukin NIK dan Kata sandi sudah saya masukan tapi malah Nik Ama kata sandi salah sumpah ini aplikasi ga jelas padahal sudah saya cek berkali kali tapi tetep ga bisa
Suryadi Saderi,2,"Setelah update malah data hilang sebagian dari 6 anggota hanya 3 anggota yang muncul, yang 3 hilang"
Leanny Syafiq,1,"Percuma di dounwloud jg, ga bisa ke buka² paraahhhhh ini, sayang kuotaa klo begitumah"
Anang Suryana,3,Mohon di sinkronkan alamat yg tertera di kartu digital sama yg di daftrkan
Pengguna Google,2,Update melulu...kesal
Dimas Dewa,2,Tolong perbaiki saat pengambilan verifikasi wajah tidak ada tombol susah banget kadang error tolong kasih tombong saat menghadap kanan kiri senyum kedip
Dhe eru,1,"Cih! Info di aplikasi dan di real nya beda banget, lebih baik dateng langsung aja atau ga cukup untuk ambil kartu kesehatan online aja, jgn pernah ambil antrian di aplikasi ini"
Angga Bayu,5,Terima kasih saya jadi lebih mudah
Teguh Riswono,5,Pelayanan semakin bagus
Hadi Prayitno,2,Kasih bintang 2 dulu nanti tambah lagi
Kusuz Gaming,1,"Aplikasi nya parah jelek masa buka aplikasinya aja ga bisa, ratingnya aja udah 3,6 semoga aja makin turun ni rating aplikasi ampe 0,1"
Mimin Mintarsih,3,Pokonyah bisa membantu meringankan pasieun untuk soal pembayaran
Ismail Didik,4,Tambah di perbaiki lagi. .jangan update terus tapi ga ada kemajuan e dan gak ada maanfaat yang baik jangan di suruh update terus..
Hendra Walaz,5,Sangat membantu
mohammad masykur,1,payah mau daftar faskes terusan untuk kontrol tertulis internal server error 😡
Siti Supiyah,5,Sangat membantu
Pengguna Google,5,Sangat membantu saya.....
Widyan Irfa darojan,1,MAAF INI LOH VERIFIKASI NO TELPON LEWAT SMS GA MUNCUL2 UDAH DI TUNGGU LAMA2 TRUS DI ULANG2 .. KOCAK .. PERBAIKI LAH !!! GUNAIN ANGGARAN YANG BENER !!
Houtaro Kazoku,1,"jujur, susah banget daftarnya pas bagian verifikasi OTP"
Ayue Ainierahiem,5,bagus apknya
Ayahmaheer& Maheera,1,Bikin repot ajah nih aplikasi gak guna susah
alex wirnata,1,"kenapa mau verifikasi dengan wajah malah ga muncul2 ya, pdhal kamera bagus2 aja. tolong diperbaiki sistemnya. mau melakukan perubahan aja ga bisa"
Ali Muddin,5,sangat memuaskan
Abah Wangsa,4,𝚂𝚊𝚗𝚐𝚊𝚝 𝚙𝚘𝚜𝚒𝚝𝚒𝚏.. 𝚜𝚊𝚗𝚐𝚊𝚝 𝚖𝚎𝚖𝚋𝚊𝚗𝚝𝚞
Pengguna Google,5,"Sangat membantu sekali kita tau berapa besar tagihan, dan lain lain."
Ade Sebastian,5,Sangat membantu dan aplikasi terbaik untuk jaminan kesehatan indonesia
Pengguna Google,5,Sangat membantu
Asdar Shandro,3,"setelah selesai dilayani, untuk daftar online kembali untuk besok harus nunggu berapa lama ya, karna dimenu pendaftaran antrean masih tertera kalau sudah dilayani hari ini tidak ada muncul untuk kembali mendaftar"
Wiwi Winarti,1,"menyebalkan disaat lagi butuh""nya buka susah. bangett😠😠😠😤"
Eko Prasetia,5,Sangat memuaskan
Pengguna Google,1,"suruh dirubah data melalui mobile jkn malah jadi ganda data anak saya , jadi saya bayar ganda , sudah di non aktif kan tetap tagihan masih menghantui saya , bagaimana ini solusi nya ? ke kantor bpjs ga bisa lewat tlpn baru 5 menit abis 50rb pulsa"
muhammad bana,5,Sangat membantu
Wardi,2,"Hallo team jkn, saya ada keluhan Di info riwayat pelayanan tahun 2023, saya belum pernah berobat, kenapa ada info layanan ny. Mohon di jawab y"
ahmad asad fauzan,1,"Aplikasi Kapitalis, biar kirim kode OTP pakai pulsa, haddeh Indonesia"
Pengguna Google,4,Sangat membantu
Dodi Odi,1,Aflikasi ny jelek banyak gangguan 😆😆😆
M Muflik,4,Sejauh ini lumayan
Miftah Hudin,1,"TDK bisa d buka padahal semuanya bener.. udah d coba berkali"" ttp TDK bisa , kece wa"
Gun Awan,1,Diperbarui lagi dong aplikasinya makin susah aja pdh nomer hp bener salah terus udah tfon 165 no respon
Ahmah Hafili,1,Lama banget untuk menerima verifikasi no hp Belm sampe juga sms nya berapa kali saya ulang masih tetap
Murni S,1,"Aplikasi buruk sekali, captca bener dibilang salah, no jkn sudah daftar, barusan bisa login, karena logout, mau login lg katanya nomer jkn belum terdaftar. Mau daftar lagi, sampai di opsi masukkan nomer telpon, aplikasi keluar2 terus. Ga ngerti lagi, buruk sekali aplikasinya. Ga usah ada aplikasi aja, nyusahin aja, aplikasi kaya gini bisa2nya ada di playstore hadeh"
Daeng Inahasa Channel (Dahlan Daeng),5,Tingkatkan selalu pelayanan untuk mendekatkan layanan ke masyarakat
Slamet Riyanto Unit Limus,5,Sangat membantu
Iin Indarti,4,"Aplikasi semakin mudah, terutama layanan daftar online.."
رضوان,1,"aplikasi cacat hanya jadi sampah dihandphone saja.. mau daftar saja sulit malah suruh kedukcapil, emang kk saya didapat dari warung sembako apa. koplok👎"
Alex WN,4,Knapa setelah update aplikasi. Ada keterangan aplikasi tidak dapat digunakan pada ponsel yg sudah di root. Hp saya jadul. Belum di root Tolong
Pengguna Google,5,Mohon tambahkan menu jika mutasi BPJS dari tempat kerja menjadi Mandiri. Terima kasih
Mella Apriliani,3,Tolong untuk pihak yang mengelola aplikasi ini bagusin lagi aplikasinya. Aplikasinya gak konsisten kadang hari ini lancar ehh besok malah loading gak jelas
Farid Kin,5,Sangat membantu
Mamat Rachmat,4,perubahan alamat surat mufah dilakukan
Muhamad Rifai,1,Aplikasi ga ke urus minta kode verifikasi via sms aja ga di kirim kirim
ROHIMAT,5,"Akses berobat jadi lebih mudah, tingkatkan terus...."
Zun Naedi,1,Aplikasi ga guna setiap login gagal trus
Pengguna Google,5,aplikasi ini sangat membantu. dn sangat mempermudah.
Fauzi,2,"Lemot!! ganti faskes aja ga bisa mulu, daftar online rujukan ga bisa Ampun dah"
tia pratiwi,1,Gmna si mau daftar peserta baru malah suruh chat pandawa tp udah dichat jawaban robot mulu
Cecep 737900,5,"Aplikasi bagus, mudah digunakan dan sangat membantu disaat kritis.. Thanks. Good job!"
Ade Sunandar,3,Mantap.. meskipun sering eror
Jemmy Rtg,5,Sangat membantu sy dan masyarakat umum nya...👍👍🙏
Suka Family,1,Mau daftar periksa ga bisa. Sudah pilih dokter sampai ganti2 dokter suruh reschedule terus Karena blm ada jadwal. Ga jelas!!!!
Hilyan Nopiandar,1,Dipaksa autodebit Tapi dibank sudah dipotong tgl tgl 5 Ke BPJS masih belum lunas Kacau lebih baik jangan ada autodebet Sesudah saya installl ulang hp dianggap di Root Android saya masih official Ori .... DiAnggap di root Jadi gak bisa dipakai Jawaban salah sambung Gak perlu no peserta
Muhammmad Adam,5,Pengen pindah faskes dari aplikasi ini udah tidak bisa harus ke kantor cabang malah makin ribet waktu biaya tenaga udah aja uninstal aplikasi ini.
Sagita Ririn33,1,aplikasi apa ini kl blm siap pakai yg elektronik jngn sok Sokan pakai elektronik bikin susah masyarakat saja bikin aplikasi ni pakai uang rakyat jngn persulit rakyat sistem di bikin susah parah bnr
jaenudin maulana yusuf,5,Sangat membantu
pen pen,5,Cepat dan tepat mantap
Pengguna Google,4,Sangat membantu
Deden Robiyana,5,adanya mobile jkn jadi lebih praktis. moga selalu lancar mobile jkn
wawan setiawan,1,"Mohon diperbaiki lagi, terlalu rumit"
Prayoga Prayoga,1,"Aplikasi tidak bermanfaat,sudah aktif di bpjs tapi disini malah belum terdaftar"
Wawan Subarkah,4,"Terima kasih atas pelayanan yang telah diberikan, aplikasi sudah cukup membantu saya sebagai salah satu peserta"
Syifa Nurlatifah,1,"Sekarang jelek banget aplikasi ini , tolong segera perbaiki kaya dulu lagi . Sekarang fitur fitur nya banyak yang di kunci dan gak bisa aksek ke kartu peserta padahal itu paling penting . Tolong segera perbaiki lagi , supaya cetak kartu lebih mudah dan akses tidak di kunci."
supri 01,5,Alhamdulillah baik sekali
risma yoggi,1,"Ini gimana sih kita udh update no hp dr 2023 tp di 2024 gak bsa login tertera nomor berbeda... Dipandawa tertulis nomor baru, tp disistem nomor yg lama... Hubungi cs on call jga tdk ada solusi"
Dananjaya Official,1,"Sangat buruk,susah log in,alasan nya ,belum dpt di transaksi,coba beberapa dtik lagi,,,pas daftar juga sering gtu ,,,mohon perbaiki ,aplikasi terburuk teribet,mau log in ga bisa aruhh,,"
Widy Yulian,1,Setelah update nyesel deh lupa pasword nggak bisa masuk
dino fekon,5,Ini kode otp nya sampai keringatan nungguin sampai sekarang nggak muncul muncul apk apa ini
Maryadi Yadi,1,"Tidak bisa berjalan emulator,gimna ini mksdnya ada apa dengan aplikasinya tidak bisa dibuka, Jangan bikin binggung masyarakat"
Edi Syahputra,1,knpa kok aplikasinya gk bisa di bukak terus ya padahal jaringan udh normal
Rizki Ayu,1,"Kepada BPJS kesehatan, Kenapa tiap mau login notice nya ""transaksi tidak dapat diproses"" teruuuuusss.. Padahal aplikasi minta update sebulan sekali.. Teruussss kenapa sudah turun kelas tapi tagihan masih kelas yg lama Mohon solusii"
Yeni Nurhaeni,1,Baguss membantu
DENY ARDIANSYAH,5,"Alhamdulillah, tingkat kan terus sehingga menjadi aplikasi yang lebih bermanfaat untuk rakyat Indonesia."
medi mamudi,5,Sangat membantu
Ela Wati,5,Dengan adanya mobile jkn bisa mempermudah masalah mengenai perubahan BPJS kesehatan
Yanto Redmi,2,Kok gak bisa mendaptar
Subhan Sabani,1,"Aplikasinya gak berguna sama sekali, gak membantu"
ALFIAN SST,5,"Pelayanan nya cukup baik, lebih ditingkatkan"
Siti Nazar,1,Aplikasi nya ga ke buka di menu malah loding mulu bener lah knp saya mau off aja ini BPJS nya
Klik Iklan,5,"Pelayanan jadi lebih mudah dengan app ini, smg lebih baik dan lebih mengedepankan pelayanan masyarakat"
Mamora Margana,1,Kenapa data pembayaran premi tidak di temukan.
Riki Riansyah,3,"Saya mau menambahkan anggota keluarga istri dan anak sudah didaftarkan oleh perusahaan saya bekerja tapi diaplikasi JKN Semua Keluarga Anda Terlindungi (Aktif) tapi saya cek di info peserta tidak ada penambahan peserta keluarga, solusinya gimana iya min."
Andra Ramania aji,5,"Bagus aplikasinya, sangat berguna sekali bagi kami semua nya"
Bayu Dimo,1,"Bintang 5 saya turunkan karena setelah update applikasi ini, ada kendala di perubahan data peserta ( pemindahan faskes ) harus ke kantor yang sebelumnya hanya bisa lewat aplikasi, Semoga semua segera dikembalikan seperti sebelumnya, agar lebih mudah dan tidak menyita waktu untuk ke kantor. terimakasih"
PUTRI NAOMI,5,sangat membantu. terimakasih
Pengguna Google,4,"Notifikasi pembayaran sudah muncul, tp saat di tekan tdk lgsg tehubung ke halaman tagihan yg dimaksud."
ramy ramdani,2,aplikasi pemerintah tapi sangat bobrok . . verifikasi nomer aja error . . malu maluin dan menyusahkan masyarakat
Jo Santoso16,4,Tingkatkan terus
Nur Amanda,5,Sangat membantu sekali.. 👍
Sandi Yudha Rohmatulloh One projects,5,Tolong bantuanya kartu sdh terdaftar dan SDH aktif tapi mau di cetak kok gak bisa ya ?
Pengguna Google,5,mudah mengakses nya
Ahmad Fatoni,5,Terus tingkatkan melayani masyarakat
